Frame Number ,Layer Number,Overflow Count,Underflow Count,Max GNA value,Scale Factor,Max FP32 value,Mean of Overflowing FP32 values,Median,GNA Layer Name,IR Layer Name
1,331,14,0,64.0,512,187.581,73.03823571428572,59.479699999999994,kActIdentity_331,identity_88
1,47,13,0,64.0,512,121.601,72.73400000000001,71.2495,kActIdentity_47,identity_8
1,54,61,0,64.0,512,814.051,95.4783393442623,73.7088,kActIdentity_54,identity_10
1,97,0,6,2.75,256,24.9424,0,0,kActIdentity_97,identity_22
1,367,0,0,0.0410156,512,0.0447419,0,0,kActIdentity_367,identity_98
1,184,5,0,63.998,512,76.0657,66.38932,66.2431,kActIdentity_184,identity_46
1,122,127,0,64.0,512,133.442,73.47082283464566,69.4264,kActIdentity_122,identity_29
1,07,0,0,62.1484,512,62.1622,0,0,kActIdentity_7,identity_1
1,135,0,0,0.0371094,512,0.0337078,0,0,kActIdentity_135,identity_32
1,523,10,0,64.0,512,522.365,107.54351,61.4045,kActIdentity_523,identity_143
1,346,0,0,0.0390625,512,0.0396627,0,0,kActIdentity_346,identity_92
1,116,0,10,0.75,512,0.701607,0,0,kActIdentity_116,identity_26
1,449,63,0,64.0,512,320.708,73.67763174603175,67.2841,kActIdentity_449,identity_122
1,211,0,30,0.927734,512,0.948688,0,0,kActIdentity_211,identity_53
1,454,42,0,64.0,512,324.289,73.94007857142857,67.3438,kActIdentity_454,identity_124
1,219,0,0,0.291016,512,0.947527,0,0,kActIdentity_219,identity_57
1,354,62,1,64.0,512,124.116,61.59944419354838,57.9128,kActIdentity_354,identity_95
1,420,0,0,0.0449219,512,0.0438302,0,0,kActIdentity_420,identity_113
1,281,113,0,64.0,512,100.604,70.15126902654868,67.7186,kActIdentity_281,identity_74
1,232,0,3,2.125,256,10.1801,0,0,kActIdentity_232,identity_60
1,335,0,0,0.558594,512,0.547752,0,0,kActIdentity_335,identity_90
1,162,0,1,57.8984,512,52.9138,0,0,kActIdentity_162,identity_40
1,317,36,0,63.998,512,88.1521,62.80691111111111,62.60555,kActIdentity_317,identity_85
1,199,0,0,0.0371094,512,0.0330647,0,0,kActIdentity_199,identity_50
1,95,0,0,0.0429688,512,0.0306614,0,0,kActIdentity_95,identity_21
1,566,104,1,64.0,512,89.7439,59.51351730769231,58.06285,kActIdentity_566,identity_155
1,283,0,0,0.779297,512,1.71178,0,0,kActIdentity_283,identity_75
1,230,0,0,0.0332031,512,0.0325236,0,0,kActIdentity_230,identity_59
1,310,34,2,64.0,512,80.8422,55.94742647058824,55.387550000000005,kActIdentity_310,identity_82
